dataset,augmentation,p,ddr_mean,ddr_std,ddr_ci_low,ddr_ci_high,n
assist2012,attr_mask,0.05,0.0,0.0,0.0,0.0,9
assist2012,attr_mask,0.1,0.0,0.0,0.0,0.0,9
assist2012,attr_mask,0.2,0.0,0.0,0.0,0.0,9
assist2012,attr_mask,0.3,0.0,0.0,0.0,0.0,9
assist2012,edge_drop,0.05,0.056230735960235916,0.013175493922283683,0.04781000703232324,0.06397222274270922,9
assist2012,edge_drop,0.1,0.10178954619095334,0.015550316945131992,0.09282819012933528,0.11195314935655844,9
assist2012,edge_drop,0.2,0.21049530040629993,0.01392389914045374,0.20129719655755177,0.2187826786212744,9
assist2012,edge_drop,0.3,0.30911536039809834,0.014515070859999781,0.300901096624171,0.3185224479364617,9
assist2012,node_drop,0.05,0.12830009347946617,0.04933639053553025,0.10003480154793769,0.15623895848965422,9
assist2012,node_drop,0.1,0.2003585984562076,0.06405053036706321,0.16636711474227706,0.24134282178813918,9
assist2012,node_drop,0.2,0.3480355686214885,0.0669080666198534,0.31017101466751024,0.388380102159325,9
assist2012,node_drop,0.3,0.5271419446370246,0.08522361739485779,0.4746466877884954,0.5783175565953487,9
assist2012,subgraph,0.05,0.012697466943559539,0.0027995953268644094,0.011208596190923832,0.014472839379978475,9
assist2012,subgraph,0.1,0.045615846284370674,0.01863951561408491,0.03793492632187929,0.058208919654176634,9
assist2012,subgraph,0.2,0.15637858068258625,0.03145422943945746,0.1375114429456594,0.17628857278703142,9
assist2012,subgraph,0.3,0.25409288452624446,0.02893107113826975,0.23855112758615624,0.2734036378048698,9
