dataset,augmentation,p,ddr_mean,ddr_std,ddr_ci_low,ddr_ci_high,n
junyi,attr_mask,0.05,0.0,0.0,0.0,0.0,9
junyi,attr_mask,0.1,0.0,0.0,0.0,0.0,9
junyi,attr_mask,0.2,0.0,0.0,0.0,0.0,9
junyi,attr_mask,0.3,0.0,0.0,0.0,0.0,9
junyi,edge_drop,0.05,0.050326458753414544,0.0014187022283086515,0.0494782758798545,0.05123287800926121,9
junyi,edge_drop,0.1,0.09428429878584338,0.001665355326320431,0.09319517105583877,0.09525795803401493,9
junyi,edge_drop,0.2,0.20001101286134912,0.00533301521128482,0.19659637762102458,0.2030615628425116,9
junyi,edge_drop,0.3,0.30076942240873783,0.007704834634489679,0.29594398645863107,0.3052831840187573,9
junyi,node_drop,0.05,0.10664315890281348,0.018872466206819868,0.09485603580688497,0.11777807914062709,9
junyi,node_drop,0.1,0.19577762407622612,0.026611935405416818,0.18144610256320948,0.2140288355170585,9
junyi,node_drop,0.2,0.38401656355214137,0.013564976941534374,0.37544199867853223,0.392351772876576,9
junyi,node_drop,0.3,0.5224195460918776,0.010595682203801795,0.5162190226644472,0.5288370203222046,9
junyi,subgraph,0.05,0.013097550310418598,0.00042904665206414106,0.012836608637809898,0.0133727948512567,9
junyi,subgraph,0.1,0.06399086677971884,0.012324639628325897,0.056169158973251185,0.07172833304167779,9
junyi,subgraph,0.2,0.16582651054912131,0.02099245324427844,0.15194951882898336,0.17805776615991062,9
junyi,subgraph,0.3,0.2697518647272935,0.02191444179829331,0.25507573886495655,0.28314524161712307,9
